CODE,Location Name,lat,lon,Latitude/Longitude
A01,AHMEDABAD APEX,23.106556,72.683222,"23.106556,72.683222"
A02,BARODA BRANCH,22.33424307,73.16552617,"22.33424307,73.16552617"
A03,RAJKOT BRANCH,22.27983403,70.79548111,"22.27983403,70.79548111"
A48,CHILODA BRANCH,23.106326,72.683018,"23.106326,72.683018"
A05,VAPI BRANCH,20.36025,72.9179,"20.36025,72.9179"
A07,ANKLESHWAR BRANCH,21.611786,73.0201776,"21.611786,73.0201776"
A11,KHOKHRA BRANCH,23.00743692,72.61368813,"23.00743692,72.61368813"
A16,KUTCH DDLP SUPER FRANCHISE,23.067835,70.139366,"23.067835,70.139366"
A17,BARODA SCS APEX,22.34587,73.24232,"22.34587,73.24232"
A18,MEHSANA BRANCH,23.59001212,72.34946673,"23.59001212,72.34946673"
A19,BAKROL APEX,23.01420376,72.66981554,"23.01420376,72.66981554"
A04,SURAT APEX,21.175874,72.955277,"21.175874,72.955277"
A24,AHMEDABAD BRANCH,23.03332592,72.5687591,"23.03332592,72.5687591"
A27,BHAVNAGAR SORTING OFFICE,21.7579734,72.1483693,"21.7579734,72.1483693"
A33,JAMNAGAR BRANCH,22.474815,70.067623,"22.474815,70.067623"
A36,AHMEDABAD WEST BRANCH,23.04604921,72.51223726,"23.04604921,72.51223726"
A38,GANDHINAGAR BRANCH,23.25521,72.632783,"23.25521,72.632783"
A44,ANAND BRANCH,22.544634,72.952506,"22.544634,72.952506"
A45,SURENDRANAGAR BRANCH,22.72493337,71.63302204,"22.72493337,71.63302204"
A46,SURAT CITY BRANCH,21.209618,72.837093,"21.209618,72.837093"
A47,BHUJ SUPER FRANCHISEE,23.2461714,69.6742626,"23.2461714,69.6742626"
A21,SURAT SCS APEX,21.18357,72.92481,"21.18357,72.92481"
A49,HALOL BRANCH,22.3459576,73.2425377,"22.3459576,73.2425377"
A50,SANAND BRANCH,23.012625,72.336963,"23.012625,72.336963"
B01,MANGALORE SUPER FRANCHISEE,12.88889313,74.82789612,"12.88889313,74.82789612"
B02,MYSORE BRANCH,12.2854657,76.6129104,"12.2854657,76.6129104"
B03,HUBLI BRANCH,15.356049,75.130127,"15.356049,75.130127"
B05,GULBARGA SUPER FRANCHISEE,17.35586335,76.83651412,"17.35586335,76.83651412"
B06,BOMMANAHALLI BRANCH,12.89106,77.64255,"12.89106,77.64255"
B07,CHAMRAJPET BRANCH,12.96043469,77.56498796,"12.96043469,77.56498796"
B08,PEENYA BRANCH,13.02106784,77.52206709,"13.02106784,77.52206709"
B09,RAJAJINAGAR BRANCH,12.9819403,77.54759633,"12.9819403,77.54759633"
B10,BANGALORE YELAHANKA APEX,13.1066,77.6187,"13.1066,77.6187"
B11,HENNUR BRANCH,13.02813674,77.63153566,"13.02813674,77.63153566"
B112,SOUTH BANGALORE STORAGE CENTER APEX,13.1066,77.6187,"13.1066,77.6187"
B14,BANGALORE T/S APEX,13.1066,77.6187,"13.1066,77.6187"
B13,CHITRADURGA SORTING OFFICE,14.2370526,76.4123577,"14.2370526,76.4123577"
B37,BLR DP PROCESSING APEX,13.1066,77.6187,"13.1066,77.6187"
B16,BELGAUM SUPER FRANCHISEE,15.85338,74.506649,"15.85338,74.506649"
B18,HASSAN BRANCH,12.99714,76.102602,"12.99714,76.102602"
B19,HOSPET SUPER FRANCHISEE,15.26073647,76.37518311,"15.26073647,76.37518311"
B24,BANGALORE INTERNATIONAL BRANCH,13.1066,77.6187,"13.1066,77.6187"
